annee,mois,Région,Classe d'âge,Taux de passages aux urgences pour grippe,Taux d'hospitalisations après passages aux urgences pour grippe,Taux d'actes médicaux SOS médecins pour grippe
2020,2,Martinique,00-04 ans,,,4879.358751375
2020,2,Martinique,05-14 ans,,,9956.509791225
2020,2,Martinique,15-64 ans,,,10365.1047141
2020,2,Martinique,65 ans ou plus,,,2773.595014375
2020,2,Martinique,Tous âges,,,7809.89610125
2020,2,Mayotte,00-04 ans,255.6212444275,0.0,
2020,2,Mayotte,05-14 ans,393.93939394,0.0,
2020,2,Mayotte,15-64 ans,752.6997650925,757.575757575,
2020,2,Mayotte,65 ans ou plus,0.0,0.0,
2020,2,Mayotte,Tous âges,526.0913493025,268.8172043,
2020,2,Normandie,00-04 ans,4257.708551350001,3054.5198007999998,8529.1695447
2020,2,Normandie,05-14 ans,3035.408140875,1155.012457375,16452.597478
2020,2,Normandie,15-64 ans,1138.01515995,824.98042698,12071.65791275
2020,2,Normandie,65 ans ou plus,565.797612675,835.69593851,2348.175589625
2020,2,Normandie,Tous âges,1623.7056618249999,989.8775870974999,11168.115277875
2020,2,Nouvelle Aquitaine,00-04 ans,5768.73553075,3375.252235175,11548.570333075
2020,2,Nouvelle Aquitaine,05-14 ans,4143.297697525,2494.896765875,23040.32809475
2020,2,Nouvelle Aquitaine,15-64 ans,1088.6496497449998,668.59009235,14984.53748775
2020,2,Nouvelle Aquitaine,65 ans ou plus,571.1554885825,719.1923985975,3283.8933133250002
2020,2,Nouvelle Aquitaine,Tous âges,1755.683269325,931.392302285,14452.87344175
2020,2,Occitanie,00-04 ans,5482.656143575,3093.111008575,12541.31993725
2020,2,Occitanie,05-14 ans,3088.9031991499996,995.3721363325,17583.2230695
2020,2,Occitanie,15-64 ans,1177.5664616,615.165911675,14291.2789945
2020,2,Occitanie,65 ans ou plus,386.63049399249996,487.6016789725,4310.7329203
2020,2,Occitanie,Tous âges,1631.4407471,727.1489509200001,13199.747004
2020,2,Pays de la Loire,00-04 ans,6499.964886675,6242.2824447250005,10950.337147725
2020,2,Pays de la Loire,05-14 ans,3299.821006525,2096.887997625,17995.616146
2020,2,Pays de la Loire,15-64 ans,1322.015052025,936.53465074,12946.42768
2020,2,Pays de la Loire,65 ans ou plus,701.9672150174999,921.228146995,1869.876276125
2020,2,Pays de la Loire,Tous âges,2026.2086886749998,1365.8475233,11676.27198515
2020,2,Provence-Alpes-Côte d'Azur,00-04 ans,11260.382050225,11550.847602075,13987.44845075
2020,2,Provence-Alpes-Côte d'Azur,05-14 ans,8325.27919185,5932.94037295,25120.0063545
2020,2,Provence-Alpes-Côte d'Azur,15-64 ans,2406.0598397000003,1657.65636025,20848.76728425
2020,2,Provence-Alpes-Côte d'Azur,65 ans ou plus,1568.783461225,2096.0616631,5829.36974515
2020,2,Provence-Alpes-Côte d'Azur,Tous âges,4179.605887925,2857.3502409000002,18121.9035645
2020,2,Réunion,00-04 ans,1560.2853529,524.26438295,
2020,2,Réunion,05-14 ans,727.9126772100001,0.0,
2020,2,Réunion,15-64 ans,175.50283981249999,55.066079295,
2020,2,Réunion,65 ans ou plus,92.421441775,98.42519685,
2020,2,Réunion,Tous âges,439.550450055,118.8474150525,
2020,2,Île-de-France,00-04 ans,7320.10662165,3605.8838023,11289.218453725
2020,2,Île-de-France,05-14 ans,5170.251293775,1246.183356905,17424.631316
2020,2,Île-de-France,15-64 ans,2343.7001841250003,931.8878624725,17545.7128665
2020,2,Île-de-France,65 ans ou plus,808.707436175,1040.061639435,4594.0838238
2020,2,Île-de-France,Tous âges,3162.39885185,1275.4900779324998,14983.4348335
2020,3,Auvergne et Rhône-Alpes,00-04 ans,2582.940109306,1651.515475808,4866.55943468
2020,3,Auvergne et Rhône-Alpes,05-14 ans,1638.7397490340002,1003.5757669459999,7256.700993259999
2020,3,Auvergne et Rhône-Alpes,15-64 ans,1554.099534146,960.233305646,7048.026429828
2020,3,Auvergne et Rhône-Alpes,65 ans ou plus,1046.17472164,1170.330957602,2081.210375668
2020,3,Auvergne et Rhône-Alpes,Tous âges,1564.881971022,1117.834707178,5937.286864908
2020,3,Bourgogne et Franche-Comté,00-04 ans,2162.027277806,824.497838798,4180.963975590001
2020,3,Bourgogne et Franche-Comté,05-14 ans,1486.260815582,222.22222222,5538.25822482
2020,3,Bourgogne et Franche-Comté,15-64 ans,1340.484567968,500.278379598,6017.121069524
2020,3,Bourgogne et Franche-Comté,65 ans ou plus,473.1025616178,517.6971497330001,2345.9814038480004
2020,3,Bourgogne et Franche-Comté,Tous âges,1182.850403858,518.7628617339999,5160.788789300001
2020,3,Bretagne,00-04 ans,1317.048285486,1701.8680501199997,2958.53929532
2020,3,Bretagne,05-14 ans,810.319353312,922.52803262,7620.00150234
2020,3,Bretagne,15-64 ans,708.407115674,608.853830112,5467.796190999999
2020,3,Bretagne,65 ans ou plus,307.24620178140003,381.773212396,1238.758024456
2020,3,Bretagne,Tous âges,676.8025099419999,563.6214564946,4648.81118508
2020,3,Centre-Val de Loire,00-04 ans,1710.227580498,1193.4798015600002,3014.91090708
2020,3,Centre-Val de Loire,05-14 ans,1578.201184056,1360.87335768,4119.5267956
2020,3,Centre-Val de Loire,15-64 ans,1385.65166804,617.560029924,4157.93309604
