Année,Région,Grippe moins de 65 ans à risque,Grippe 65 ans et plus,Grippe 65-74 ans,Grippe 75 ans et plus,Grippe résidents en Ehpad,Grippe professionnels en Ehpad
2022,Corse,26.8,48.7,41.0,56.7,,
2022,Hauts-de-France,36.7,59.0,55.5,63.4,,
2022,Occitanie,30.0,55.7,49.0,62.7,,
2022,Guyane,11.1,17.9,16.5,20.6,,
2023,Hauts-de-France,29.9,56.9,51.6,63.4,,
2023,Île-de-France,22.4,52.7,45.1,61.0,,
2023,Nouvelle Aquitaine,26.4,56.1,48.6,63.8,,
2023,Provence-Alpes-Côte d'Azur,21.3,49.7,40.9,58.2,,
2023,Réunion,,,,,,
2024,Bretagne,28.0,59.5,52.8,66.3,,
2024,Île-de-France,22.9,52.9,45.7,60.3,,
2024,Normandie,29.5,57.7,51.9,63.8,,
2024,Occitanie,24.1,52.9,44.9,60.6,,
2024,Pays de la Loire,27.4,58.1,51.0,65.1,,
